,,,,,,,,,,,,,,,,
Presupuesto de Potencia,Distancia,Atenuación por km,Amplificación/Atenuación (dB),Potencia acumulada (dBm),400 Gbps,NF (dB),OSNR canal (dB),OSNR canal (veces),OSNR acumulada (dB),OSNR acumulada (veces),1/GSNR NL,GSNR NL (dB),GSNR NL (veces),GSNR NL acumulada (dB),GSNR NL acumulada (veces),GSNR Total (dB)
Fibra,102.00,0.2110,-22.02,-24.02,,,,,16.67,46.48,3.07e-05,45.12,32529.24,32.95,1971.12,16.57
ILA Node (Amplificador de Línea),,,,,,,,,,,,,,,,
Amplificador de Línea (EDFA),,,22.02,-2.00,,5.50,28.43,696.88,16.39,43.58,,,,32.95,1971.12,16.30
Fibra,93.00,0.2111,-20.13,-22.13,,,,,16.39,43.58,3.06e-05,45.14,32682.05,32.69,1859.00,16.29
Preamplificador (ROADM),,,20.13,-2.00,,5.50,30.32,1076.86,16.22,41.88,,,,32.69,1859.00,16.12
Santa Rosa (Mza),,,,,,,,,,,,,,,,
ROADM (Pérdida Mux/Demux/Express),,,-18.00,-20.00,,,,,16.22,41.88,,,,32.69,1859.00,16.12
Amplificador Booster (ROADM),,,18.00,-2.00,,5.50,32.45,1758.56,16.12,40.91,,,,32.69,1859.00,16.02
Fibra,110.00,0.2109,-23.70,-25.70,,,,,16.12,40.91,3.08e-05,45.11,32437.33,32.45,1758.24,16.02
Preamplificador (ROADM),,,23.70,-2.00,,5.50,26.75,473.32,15.76,37.65,,,,32.45,1758.24,15.67
ROADM (Demux + VOA),,,-18.00,-20.00,,,,,15.76,37.65,,,,32.45,1758.24,15.67
Mendoza,,,,,,,,,,,,,,,,
Transceiver,,,,-20.00,400,,,,15.78,37.84,,,,31.92,1555.97,15.65
TOTALES Y MARGEN,,,,,,,,,,,,,,,,
Distancia Total (km),1622.0,,,,,,,,,,,,,,,
OSNR Total Final (Teórico CSV),15.78,,,,,,,,,,,,,,,
OSNR Total Final (Simulación GNPy),16.81,,,,,,,,,,,,,,,
GSNR Total Final (Teórico CSV),15.65,,,,,,,,,,,,,,,
GSNR Total Final (Simulación GNPy),16.49,,,,,,,,,,,,,,,
Umbral Requerido 400G (dB),25.0,,,,,,,,,,,,,,,
Margen del Sistema (GNPy) (dB),-8.51,,,,,,,,,,,,,,,
