======================================================================
  REPORTE: ASIGNACIÓN DE DEMANDAS REFEFO CON MILP (PuLP-CBC)
======================================================================

Estado base: /home/maximo/opticas/TpOpticas/Pablo_punto5/ocupacion_base_milp.csv
Demandas:    /home/maximo/opticas/TpOpticas/Pablo_punto5/refefo/demandas_refefo.csv
Big-M:       310
TimeLimit:   120s | GapRel: 0.05

--- ESTADO BASE ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  S_max:            136

--- MODELO MILP ---
  Variables totales:    3898
  Restricciones:        7594
  Vars base (z):        409
  Vars solapamiento (x): 3288
  Estado solver:        Not Solved
  Tiempo:               120.00s

--- RESULTADOS REFEFO ---
  Demandas REFEFO totales:        200
  Demandas asignadas con éxito:   0
  Demandas bloqueadas:            200
  Probabilidad de bloqueo:        100.00%

--- ESTADO FINAL DE LA RED ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  Ocupación:        5.22%
  S_max:            136

  Δ Slots ocupados: +0
  Δ S_max:          136 → 136

--- DETALLE POR DEMANDA ---
 Iter | Source                    | Destination               |  Gbps | Resultado                           | K_Path |  Slot
  175 | Tres lagos                | Ituzaingo                 |   300 | BLOQUEADA (infactible)              |      - |     -
  176 | Junin de los Andes        | Lib Gral San Martin       |   100 | BLOQUEADA (infactible)              |      - |     -
  177 | La Falda                  | La Paz                    |   200 | BLOQUEADA (infactible)              |      - |     -
  178 | Arrecifes                 | Sunchales                 |   200 | BLOQUEADA (infactible)              |      - |     -
  179 | Exaltacion de la Cruz     | Bolivar                   |   200 | BLOQUEADA (infactible)              |      - |     -
  180 | San Francisco             | V. Mercedes               |   300 | BLOQUEADA (infactible)              |      - |     -
  181 | Santa Fe                  | Bolivar                   |   200 | BLOQUEADA (infactible)              |      - |     -
  182 | San Marcos                | San Carlos de Bariloche   |   400 | BLOQUEADA (infactible)              |      - |     -
  183 | San Sebastian             | CABA                      |   200 | BLOQUEADA (infactible)              |      - |     -
  184 | Mercedes                  | San Pedro BsAs            |   300 | BLOQUEADA (infactible)              |      - |     -
  185 | Colonia Las Heras         | Santa Rosa (Mza)          |   100 | BLOQUEADA (infactible)              |      - |     -
  186 | Pinamar                   | 9 De Julio                |   100 | BLOQUEADA (infactible)              |      - |     -
