Region;Origen;Destino;Cantidad de Enlaces;Velocidad [Gbps];Ruta;Distancia_km;GSNR_Total_dB;Umbral_OSNR_dB;Factible;Necesito_Regeneracion;Reg_Factible;Reg_Count;Ruta_Regenerada;Nodos_Regeneradores;Necesito Bajada;Factible con bajada;Velocidad_Ajustada [Gbps];GSNR_Total_dB;Umbral_OSNR_dB
Norte;Dean Funes;Jesus Maria;4;100;Dean Funes - Jesus Maria;85;28.96;11.80;SI;NO;;0;;;NO;;;;
Norte;Jesus Maria;Cordoba;4;100;Jesus Maria - Cordoba;54;30.54;11.80;SI;NO;;0;;;NO;;;;
Norte;San Miguel de Tucuman;Santa Maria;1;200;San Miguel de Tucuman - Santa Maria;185;28.06;20.50;SI;NO;;0;;;NO;;;;
Norte;San Miguel de Tucuman;San Antonio de los Cobres;1;200;San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres;530.9;22.80;20.50;SI;NO;;0;;;NO;;;;
Norte;San Miguel de Tucuman;La Quiaca;1;200;San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres - La Quiaca;838.7;19.39;20.50;NO;SI;SI;1;San Miguel de Tucuman -> Santa Maria (24.79 dB) -> San Antonio de los Cobres (20.97 dB) [REG]-> La Quiaca (22.30 dB);San Antonio de los Cobres;NO;;;;
Norte;San Miguel de Tucuman;Humahuaca;1;200;San Miguel de Tucuman - Santa Maria - San Antonio de los Cobres - La Quiaca - Humahuaca;980.7;18.94;20.50;NO;SI;SI;1;San Miguel de Tucuman -> Santa Maria (24.79 dB) -> San Antonio de los Cobres (20.97 dB) [REG]-> La Quiaca (22.30 dB) -> Humahuaca (20.84 dB);San Antonio de los Cobres;NO;;;;
Norte;San Antonio de los Cobres;San Salvador de Jujuy;1;200;San Antonio de los Cobres - La Quiaca - Humahuaca - San Salvador de Jujuy;577.8;20.66;20.50;SI;NO;;0;;;NO;;;;
Norte;La Quiaca;San Salvador de Jujuy;1;200;La Quiaca - Humahuaca - San Salvador de Jujuy;270;26.33;20.50;SI;NO;;0;;;NO;;;;
Norte;Humahuaca;San Salvador de Jujuy;1;200;Humahuaca - San Salvador de Jujuy;128;29.75;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Maria;San Antonio de los Cobres;4;100;Santa Maria - San Antonio de los Cobres;345.9;24.15;11.80;SI;NO;;0;;;NO;;;;
Norte;San Antonio de los Cobres;La Quiaca;4;100;San Antonio de los Cobres - La Quiaca;307.8;21.93;11.80;SI;NO;;0;;;NO;;;;
Norte;La Quiaca;Humahuaca;4;100;La Quiaca - Humahuaca;142;28.46;11.80;SI;NO;;0;;;NO;;;;
Norte;Humahuaca;San Salvador de Jujuy;4;100;Humahuaca - San Salvador de Jujuy;128;29.75;11.80;SI;NO;;0;;;NO;;;;
Norte;Tucuman;San Jose de Metan;1;200;Tucuman - San Jose de Metan;181;26.91;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;Salta;1;200;Tucuman - San Jose de Metan - Salta;332;23.48;20.50;SI;NO;;0;;;NO;;;;
Norte;San Jose de Metan;Jujuy;1;200;San Jose de Metan - Salta - Jujuy;285;24.23;20.50;SI;NO;;0;;;NO;;;;
Norte;Salta;Jujuy;1;200;Salta - Jujuy;134;28.79;20.50;SI;NO;;0;;;NO;;;;
Norte;Tucuman;San Jose de Metan;4;100;Tucuman - San Jose de Metan;181;26.91;11.80;SI;NO;;0;;;NO;;;;
